train,test
5.183816717451229295e+00,3.780961294296083519e+00
3.749231831518837765e+00,4.041031906618460567e+00
4.021395045108294930e+00,3.248747961375417326e+00
3.250239246041616958e+00,2.523018347313888743e+00
2.545169204090132364e+00,2.184892019184937695e+00
2.220138377421576159e+00,1.891673958627162033e+00
1.932266623873882150e+00,1.682235100123816052e+00
1.710710896349801446e+00,1.590206931534230206e+00
1.603345021245909274e+00,1.557714002099346517e+00
1.564734305120316193e+00,1.537065068755630204e+00
1.540927435803969514e+00,1.508864299869651093e+00
1.510166334152879042e+00,1.470981291673534530e+00
1.471910104266252350e+00,1.430125280665430765e+00
1.432052524061133703e+00,1.393504028076692824e+00
1.397039327950408527e+00,1.364384480231975338e+00
1.369427616944614012e+00,1.343133695635052582e+00
1.348951905171181576e+00,1.326418429070924221e+00
1.333312969397735470e+00,1.311652450766234823e+00
1.319528270113109247e+00,1.297273281311425830e+00
1.305855281215227315e+00,1.281593518229687811e+00
1.290757738693200540e+00,1.263005699646287727e+00
1.272830547968126558e+00,1.240811194049093569e+00
1.251676884953147439e+00,1.215072060554512223e+00
1.227934175819022755e+00,1.186693755585164212e+00
1.202273276753570430e+00,1.156570792895385225e+00
1.175462002485213153e+00,1.126622033919568722e+00
1.148468028331880442e+00,1.096448399814279773e+00
1.121340637223469994e+00,1.066316093594873227e+00
1.093896587418645927e+00,1.035946255753737777e+00
1.065348751030935404e+00,1.004325493809523850e+00
1.034975094866697587e+00,9.711335128944852402e-01
1.002558800819273399e+00,9.371581800878788782e-01
9.686737506074064585e-01,9.026674644745358300e-01
9.339490756488819656e-01,8.681972194412104216e-01
8.995513482379456915e-01,8.353907792229783302e-01
8.665957993139700166e-01,8.044173689697546870e-01
8.352384993027146542e-01,7.748710364146634832e-01
8.053517690735239043e-01,7.464393005719031082e-01
7.764508405197039220e-01,7.185709114922622653e-01
7.482422273230481258e-01,6.909693645832963860e-01
7.210057561871126008e-01,6.653469377967854426e-01
6.954885669774056867e-01,6.424706232557945151e-01
6.726723731573672760e-01,6.229167237596645590e-01
6.530037392201840651e-01,6.056058795634634562e-01
6.357157937649402513e-01,5.886065119583596683e-01
6.187872738050959054e-01,5.699332171403515002e-01
5.999060821155310919e-01,5.483441198541066930e-01
5.777227163552159928e-01,5.241019226794727537e-01
5.529023995828290516e-01,4.994258829921703335e-01
5.276498606901118826e-01,4.772599958762722139e-01
5.047231232181900173e-01,4.592668085159943292e-01
4.858596576241076548e-01,4.450110369534206467e-01
4.709406393256049816e-01,4.331043161658982843e-01
4.585934741753313615e-01,4.217283960863248415e-01
4.470767217106685898e-01,4.102486903254564110e-01
4.354137151940097872e-01,3.989430126002715404e-01
4.237493894229217295e-01,3.887878422045237259e-01
4.131210409479545431e-01,3.805386555133860038e-01
4.042939185047913497e-01,3.737947040565578471e-01
3.971379509321099066e-01,3.674882915627625257e-01
3.906528867346618084e-01,3.602377451373791062e-01
3.835258818769150535e-01,3.512682357127369648e-01
3.749706788885603381e-01,3.409273178358773748e-01
3.652724126075232447e-01,3.304983465599579118e-01
3.555532071366601099e-01,3.215123211569663741e-01
3.471545139479219610e-01,3.149623105965327352e-01
3.409943254274298008e-01,3.108954544709430223e-01
3.369807244676699676e-01,3.082199154152915344e-01
3.341270523408986226e-01,3.055000405345900116e-01
3.311208786797070203e-01,3.016613901705244571e-01
3.268818961063157391e-01,2.962866649306862832e-01
3.210881087474715678e-01,2.897866202307824435e-01
3.143175937241252105e-01,2.831693424930176173e-01
3.076692563171556372e-01,2.775626655002438326e-01
3.022279539419265304e-01,2.735158484102223619e-01
2.984857700009749260e-01,2.708654564555268429e-01
2.961509854982038448e-01,2.689007056395327777e-01
2.944349290870020286e-01,2.667784102963539072e-01
2.923954012572199113e-01,2.639425659001455871e-01
2.894311420790236511e-01,2.603543991659973411e-01
2.854923645052666603e-01,2.564077708688836110e-01
2.810085472199424506e-01,2.526500260414373811e-01
2.765871919743460583e-01,2.495110364673407688e-01
2.727323421469640130e-01,2.470480278797042850e-01
2.696248071261612700e-01,2.449832815235405692e-01
2.670989639740339316e-01,2.429146759331982930e-01
2.647900669835948073e-01,2.404748807424535173e-01
2.623201252614728585e-01,2.374220880686467861e-01
2.595057037959822011e-01,2.338497739654241681e-01
2.563836744065082773e-01,2.299859830909705694e-01
2.531761853103350890e-01,2.261162572303735130e-01
2.500860289345345766e-01,2.225403804554057507e-01
2.472774002643889912e-01,2.193568062293636822e-01
2.447871821690153771e-01,2.165678013378042888e-01
2.425705286778592207e-01,2.141409985650695180e-01
2.405428609209575297e-01,2.120445638939551236e-01
2.386111677726830416e-01,2.101675967836035552e-01
2.367000248754000113e-01,2.084874673225127761e-01
2.347504536605563019e-01,2.069234718610760693e-01
2.327531757891201092e-01,2.054089844916547891e-01
2.307342018432588793e-01,2.039441870435066140e-01
2.287317438021383431e-01,2.025037139297348743e-01
2.267983826700693262e-01,2.011162543606029585e-01
2.249946055899043895e-01,1.997796714826210185e-01
2.233480669074693892e-01,1.984975189877407342e-01
2.218421010434011853e-01,1.972004996554450051e-01
2.204254892624848694e-01,1.958165800935208478e-01
2.190332931342532097e-01,1.942774134266657682e-01
2.175823891601763871e-01,1.925274043382836364e-01
2.160281875761309589e-01,1.905848382587913559e-01
2.143682039332677480e-01,1.885457306715273562e-01
2.126521046820645244e-01,1.865139492038377089e-01
2.109669865982692627e-01,1.846315244504055930e-01
2.094074335254515196e-01,1.829789154331297185e-01
2.080151175061877578e-01,1.815689770620909915e-01
2.067716539411823262e-01,1.803424172333446818e-01
2.056010885704708246e-01,1.791904392153079173e-01
2.044181931554802101e-01,1.780279739443345055e-01
2.031577716636121522e-01,1.768287262061382370e-01
2.018093781276582843e-01,1.755697228117305275e-01
2.004035938354479240e-01,1.743074718033574000e-01
1.990105298961031000e-01,1.731206257789292269e-01
1.976898387177191407e-01,1.720480156676500449e-01
1.964894685356956827e-01,1.710929709095122819e-01
1.954049832939169784e-01,1.702206225998030009e-01
1.943882309770032790e-01,1.693590818717410629e-01
1.933765721384451131e-01,1.684519663910171439e-01
1.923226261877735710e-01,1.674706305033630271e-01
1.912039343363225175e-01,1.664369621066215388e-01
1.900387474243896702e-01,1.654028886936760034e-01
1.888717455371708986e-01,1.644094805530642855e-01
1.877549802844062643e-01,1.634972772509736272e-01
1.867189398336415729e-01,1.626410912598466596e-01
1.857634093042438983e-01,1.618283692833872578e-01
1.848587439637973673e-01,1.610209302959099420e-01
1.839677523835148154e-01,1.601870009194850120e-01
1.830556397351448261e-01,1.592982906968500312e-01
1.821014853522403554e-01,1.583694096216527458e-01
1.811158442460647222e-01,1.574354337331655140e-01
1.801260874056581085e-01,1.565388226542680228e-01
1.791646384589933305e-01,1.556961134498305588e-01
1.782554623300637298e-01,1.549066432840615348e-01
1.774015243092400829e-01,1.541615080333888221e-01
1.765870514319430040e-01,1.534339169224860633e-01
1.757911084153017944e-01,1.527086112289315067e-01
1.749926066824811777e-01,1.519679694102471501e-01
1.741769149239529024e-01,1.512222858426831851e-01
1.733450191794560780e-01,1.504802717837080694e-01
1.725152182528010836e-01,1.497501970578629660e-01
1.717036269367457624e-01,1.490450257991356442e-01
1.709202071370528320e-01,1.483533603791185318e-01
1.701648251394901890e-01,1.476714663838463171e-01
1.694326146729557003e-01,1.470015971768821039e-01
1.687119874660218954e-01,1.463400336767353982e-01
1.679926188815396848e-01,1.456858896043428941e-01
1.672645559003621274e-01,1.450414337071710691e-01
1.665287946909385919e-01,1.444069043638268324e-01
1.657928235415073726e-01,1.437745291198746500e-01
1.650623590619910153e-01,1.431548137522844488e-01
1.643438957784768284e-01,1.425568806754273776e-01
1.636370852766270423e-01,1.419775271264576422e-01
1.629425279315127317e-01,1.414059596720072809e-01
1.622586089709202595e-01,1.408349555641143225e-01
1.615838335986284069e-01,1.402651232120845082e-01
1.609119954688675302e-01,1.396796219670017603e-01
1.602433965903684587e-01,1.390834296396810665e-01
1.595732016096281236e-01,1.384778297143578751e-01
1.589019196452274574e-01,1.378634410327923832e-01
1.582358896565989603e-01,1.372486019153955072e-01
1.575781466466704694e-01,1.366415521334113925e-01
1.569294696134342915e-01,1.360491228062375713e-01
1.562929140214635859e-01,1.354671674777521706e-01
1.556684387993128305e-01,1.348942057425726315e-01
1.550545794175393621e-01,1.343428080282605408e-01
1.544475181744965064e-01,1.337971843782602976e-01
1.538443659776721484e-01,1.332591560950278364e-01
1.532418909212608094e-01,1.327324598587935334e-01
1.526411191487364871e-01,1.322093006866942311e-01
1.520468149338687902e-01,1.316975835271100848e-01
1.514585419819767242e-01,1.311921016539646656e-01
1.508804630350089604e-01,1.306948946406541467e-01
1.503130580222894475e-01,1.301986179050158565e-01
1.497569847950039612e-01,1.297045658925320699e-01
1.492094560738685960e-01,1.292091126969978909e-01
1.486662630716450162e-01,1.287130798041656865e-01
1.481230812020940257e-01,1.282184340300284997e-01
1.475804517942375937e-01,1.277204390881958307e-01
1.470404457434955903e-01,1.272259569194428286e-01
1.465068238875328888e-01,1.267367286513629010e-01
1.459791444106005587e-01,1.262552201808973540e-01
1.454587102079724914e-01,1.257794088883842365e-01
1.449448999800637961e-01,1.253121748294914739e-01
1.444360297192530396e-01,1.248456330431697986e-01
1.439288287376311037e-01,1.243822076329902243e-01
1.434232141043034758e-01,1.239200002827243463e-01
1.429186455628666808e-01,1.234604094957762049e-01
1.424158444534029955e-01,1.230080386655765801e-01
1.419154272240506776e-01,1.225549108633256362e-01
1.414201683416535515e-01,1.221080405816095948e-01
1.409328569440256584e-01,1.216684441998405614e-01
